year,round,raceId,race_name,circuit_name,driverId,driver_name,constructorId,constructor_name,grid,position,positionOrder,milliseconds,points,status
2019,12,1021,Hungarian Grand Prix,Hungaroring,848,Alexander Albon,5,Toro Rosso,12,10,10,\N,1.0,+1 Lap
2019,13,1022,Belgian Grand Prix,Circuit de Spa-Francorchamps,848,Alexander Albon,9,Red Bull,17,5,5,5107035,10.0,Finished
2019,13,1022,Belgian Grand Prix,Circuit de Spa-Francorchamps,832,Carlos Sainz,1,McLaren,15,\N,19,\N,0.0,Power loss
2019,14,1023,Italian Grand Prix,Autodromo Nazionale di Monza,848,Alexander Albon,9,Red Bull,8,6,6,4585980,8.0,Finished
2019,14,1023,Italian Grand Prix,Autodromo Nazionale di Monza,832,Carlos Sainz,1,McLaren,7,\N,20,\N,0.0,Wheel
2019,15,1024,Singapore Grand Prix,Marina Bay Street Circuit,848,Alexander Albon,9,Red Bull,6,6,6,7125330,8.0,Finished
2019,15,1024,Singapore Grand Prix,Marina Bay Street Circuit,832,Carlos Sainz,1,McLaren,7,12,12,7149641,0.0,Finished
2019,16,1025,Russian Grand Prix,Sochi Autodrom,848,Alexander Albon,9,Red Bull,0,5,5,5657340,10.0,Finished
2019,16,1025,Russian Grand Prix,Sochi Autodrom,832,Carlos Sainz,1,McLaren,5,6,6,5664881,8.0,Finished
2019,17,1026,Japanese Grand Prix,Suzuka Circuit,848,Alexander Albon,9,Red Bull,6,4,4,4966292,12.0,Finished
2019,17,1026,Japanese Grand Prix,Suzuka Circuit,832,Carlos Sainz,1,McLaren,7,5,5,4975856,10.0,Finished
2019,18,1027,Mexican Grand Prix,Autódromo Hermanos Rodríguez,848,Alexander Albon,9,Red Bull,5,5,5,5830303,10.0,Finished
2019,18,1027,Mexican Grand Prix,Autódromo Hermanos Rodríguez,832,Carlos Sainz,1,McLaren,7,13,13,\N,0.0,+1 Lap
2019,19,1028,United States Grand Prix,Circuit of the Americas,848,Alexander Albon,9,Red Bull,6,5,5,5713691,10.0,Finished
2019,19,1028,United States Grand Prix,Circuit of the Americas,832,Carlos Sainz,1,McLaren,7,8,8,\N,4.0,+1 Lap
2019,20,1029,Brazilian Grand Prix,Autódromo José Carlos Pace,832,Carlos Sainz,1,McLaren,20,3,3,5603574,15.0,Finished
2019,20,1029,Brazilian Grand Prix,Autódromo José Carlos Pace,848,Alexander Albon,9,Red Bull,5,14,14,5609605,0.0,Finished
2019,21,1030,Abu Dhabi Grand Prix,Yas Marina Circuit,848,Alexander Albon,9,Red Bull,5,6,6,5714920,8.0,Finished
2019,21,1030,Abu Dhabi Grand Prix,Yas Marina Circuit,832,Carlos Sainz,1,McLaren,8,10,10,\N,1.0,+1 Lap
2020,1,1031,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,1,McLaren,8,5,5,5464642,10.0,Finished
2020,1,1031,Austrian Grand Prix,Red Bull Ring,848,Alexander Albon,9,Red Bull,4,13,13,\N,0.0,Electronics
2020,2,1032,Styrian Grand Prix,Red Bull Ring,848,Alexander Albon,9,Red Bull,6,4,4,5015083,12.0,Finished
2020,2,1032,Styrian Grand Prix,Red Bull Ring,832,Carlos Sainz,1,McLaren,3,9,9,\N,3.0,+1 Lap
2020,3,1033,Hungarian Grand Prix,Hungaroring,848,Alexander Albon,9,Red Bull,13,5,5,5850789,10.0,Finished
2020,3,1033,Hungarian Grand Prix,Hungaroring,832,Carlos Sainz,1,McLaren,9,9,9,\N,2.0,+1 Lap
2020,4,1034,British Grand Prix,Silverstone Circuit,848,Alexander Albon,9,Red Bull,12,8,8,5313953,4.0,Finished
2020,4,1034,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,1,McLaren,7,13,13,5334653,0.0,Finished
2020,5,1035,70th Anniversary Grand Prix,Silverstone Circuit,848,Alexander Albon,9,Red Bull,9,5,5,4821139,10.0,Finished
2020,5,1035,70th Anniversary Grand Prix,Silverstone Circuit,832,Carlos Sainz,1,McLaren,12,13,13,4856063,0.0,Finished
2020,6,1036,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,1,McLaren,7,6,6,\N,8.0,+1 Lap
2020,6,1036,Spanish Grand Prix,Circuit de Barcelona-Catalunya,848,Alexander Albon,9,Red Bull,6,8,8,\N,4.0,+1 Lap
2020,7,1037,Belgian Grand Prix,Circuit de Spa-Francorchamps,848,Alexander Albon,9,Red Bull,5,6,6,5091473,8.0,Finished
2020,7,1037,Belgian Grand Prix,Circuit de Spa-Francorchamps,832,Carlos Sainz,1,McLaren,7,\N,20,\N,0.0,Exhaust
2020,8,1038,Italian Grand Prix,Autodromo Nazionale di Monza,832,Carlos Sainz,1,McLaren,3,2,2,6426471,18.0,Finished
2020,8,1038,Italian Grand Prix,Autodromo Nazionale di Monza,848,Alexander Albon,9,Red Bull,9,15,15,6463589,0.0,Finished
2020,9,1039,Tuscan Grand Prix,Autodromo Internazionale del Mugello,848,Alexander Albon,9,Red Bull,4,3,3,8383124,15.0,Finished
2020,9,1039,Tuscan Grand Prix,Autodromo Internazionale del Mugello,832,Carlos Sainz,1,McLaren,9,\N,18,\N,0.0,Collision
2020,10,1040,Russian Grand Prix,Sochi Autodrom,848,Alexander Albon,9,Red Bull,15,10,10,5738224,1.0,Finished
2020,10,1040,Russian Grand Prix,Sochi Autodrom,832,Carlos Sainz,1,McLaren,6,\N,19,\N,0.0,Accident
2020,11,1041,Eifel Grand Prix,Nürburgring,832,Carlos Sainz,1,McLaren,10,5,5,5771546,10.0,Finished
2020,11,1041,Eifel Grand Prix,Nürburgring,848,Alexander Albon,9,Red Bull,5,\N,17,\N,0.0,Radiator
2020,12,1042,Portuguese Grand Prix,Autódromo Internacional do Algarve,832,Carlos Sainz,1,McLaren,7,6,6,\N,8.0,+1 Lap
2020,12,1042,Portuguese Grand Prix,Autódromo Internacional do Algarve,848,Alexander Albon,9,Red Bull,6,12,12,\N,0.0,+1 Lap
2020,13,1043,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,832,Carlos Sainz,1,McLaren,10,7,7,5332660,6.0,Finished
2020,13,1043,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,848,Alexander Albon,9,Red Bull,6,15,15,5369714,0.0,Finished
2020,14,1044,Turkish Grand Prix,Istanbul Park,832,Carlos Sainz,1,McLaren,15,5,5,6173676,10.0,Finished
2020,14,1044,Turkish Grand Prix,Istanbul Park,848,Alexander Albon,9,Red Bull,4,7,7,6185797,6.0,Finished
2020,15,1045,Bahrain Grand Prix,Bahrain International Circuit,848,Alexander Albon,9,Red Bull,4,3,3,10795520,15.0,Finished
2020,15,1045,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,1,McLaren,15,5,5,10799302,10.0,Finished
2020,16,1046,Sakhir Grand Prix,Bahrain International Circuit,832,Carlos Sainz,1,McLaren,8,4,4,5487694,12.0,Finished
2020,16,1046,Sakhir Grand Prix,Bahrain International Circuit,848,Alexander Albon,9,Red Bull,12,6,6,5488956,8.0,Finished
2020,17,1047,Abu Dhabi Grand Prix,Yas Marina Circuit,848,Alexander Albon,9,Red Bull,5,4,4,5808632,12.0,Finished
2020,17,1047,Abu Dhabi Grand Prix,Yas Marina Circuit,832,Carlos Sainz,1,McLaren,6,6,6,5854307,8.0,Finished
2021,1,1052,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,6,Ferrari,8,8,8,5590997,4.0,Finished
2021,2,1053,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,832,Carlos Sainz,6,Ferrari,11,5,5,7381634,10.0,Finished
2021,3,1054,Portuguese Grand Prix,Autódromo Internacional do Algarve,832,Carlos Sainz,6,Ferrari,5,11,11,5750376,0.0,Finished
2021,4,1055,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,6,Ferrari,6,7,7,5662350,6.0,Finished
2021,5,1056,Monaco Grand Prix,Circuit de Monaco,832,Carlos Sainz,6,Ferrari,4,2,2,5945788,18.0,Finished
2021,6,1057,Azerbaijan Grand Prix,Baku City Circuit,832,Carlos Sainz,6,Ferrari,5,8,8,8024119,4.0,Finished
2021,7,1059,French Grand Prix,Circuit Paul Ricard,832,Carlos Sainz,6,Ferrari,5,11,11,5345107,0.0,Finished
2021,8,1058,Styrian Grand Prix,Red Bull Ring,832,Carlos Sainz,6,Ferrari,12,6,6,\N,8.0,+1 Lap
2021,9,1060,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,6,Ferrari,10,5,5,5091687,10.0,Finished
2021,10,1061,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,6,Ferrari,10,6,6,7146738,8.0,Finished
2021,11,1062,Hungarian Grand Prix,Hungaroring,832,Carlos Sainz,6,Ferrari,15,3,3,7498217,15.0,Finished
2021,12,1063,Belgian Grand Prix,Circuit de Spa-Francorchamps,832,Carlos Sainz,6,Ferrari,11,10,10,223237,0.5,Finished
2021,13,1064,Dutch Grand Prix,Circuit Park Zandvoort,832,Carlos Sainz,6,Ferrari,6,7,7,\N,6.0,+1 Lap
2021,14,1065,Italian Grand Prix,Autodromo Nazionale di Monza,832,Carlos Sainz,6,Ferrari,6,6,6,4924900,8.0,Finished
2021,15,1066,Russian Grand Prix,Sochi Autodrom,832,Carlos Sainz,6,Ferrari,2,3,3,5503476,15.0,Finished
2021,16,1067,Turkish Grand Prix,Istanbul Park,832,Carlos Sainz,6,Ferrari,19,8,8,5515629,4.0,Finished
2021,17,1069,United States Grand Prix,Circuit of the Americas,832,Carlos Sainz,6,Ferrari,5,7,7,5760097,6.0,Finished
2021,18,1070,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,832,Carlos Sainz,6,Ferrari,6,6,6,\N,8.0,+1 Lap
2021,19,1071,São Paulo Grand Prix,Autódromo José Carlos Pace,832,Carlos Sainz,6,Ferrari,3,6,6,5594671,8.0,Finished
2021,20,1051,Qatar Grand Prix,Losail International Circuit,832,Carlos Sainz,6,Ferrari,5,7,7,5150382,6.0,Finished
2021,21,1072,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,832,Carlos Sainz,6,Ferrari,15,8,8,7621724,4.0,Finished
2021,22,1073,Abu Dhabi Grand Prix,Yas Marina Circuit,832,Carlos Sainz,6,Ferrari,5,3,3,5422518,15.0,Finished
