year,raceId,driverId,constructorId,grid,position,milliseconds
2023,1098,832,6,4,4.0,5684788.0
2023,1098,848,3,15,10.0,5726510.0
2023,1099,832,6,4,6.0,4910770.0
2023,1099,848,3,17,,
2023,1100,832,6,5,12.0,9164965.0
2023,1100,848,3,8,,
2023,1101,832,6,4,5.0,5607927.0
2023,1101,848,3,12,12.0,5651059.0
2023,1102,832,6,3,5.0,5300752.0
2023,1102,848,3,11,14.0,5331102.0
2023,1104,832,6,4,8.0,6595371.0
2023,1104,848,3,13,14.0,
2023,1105,832,6,2,5.0,5323638.0
2023,1105,848,3,18,16.0,
2023,1106,832,6,11,5.0,5659888.0
2023,1106,848,3,9,7.0,5699161.0
2023,1107,832,6,3,6.0,5164984.0
2023,1107,848,3,10,11.0,5213374.0
2023,1108,848,3,8,8.0,5134816.0
2023,1108,832,6,5,10.0,5136386.0
2023,1109,832,6,11,8.0,5959707.0
2023,1109,848,3,16,11.0,
2023,1110,848,3,15,14.0,5046634.0
2023,1110,832,6,4,,
2023,1111,832,6,6,5.0,8656952.0
2023,1111,848,3,4,8.0,8659566.0
2023,1112,832,6,1,3.0,4432336.0
2023,1112,848,3,6,7.0,4466249.0
2023,1113,832,6,1,1.0,6397418.0
2023,1113,848,3,14,11.0,6470835.0
2023,1114,832,6,6,6.0,5508642.0
2023,1114,848,3,13,,
2023,1115,848,3,13,13.0,5350182.0
2023,1115,832,6,12,,
2023,1116,832,6,4,3.0,5736496.0
2023,1116,848,3,15,9.0,5808076.0
2023,1117,832,6,2,4.0,7377968.0
2023,1117,848,3,14,9.0,7399387.0
2023,1118,832,6,7,6.0,7059082.0
2023,1118,848,3,13,,
2023,1119,832,6,12,6.0,5369123.0
2023,1119,848,3,5,12.0,5391687.0
2023,1120,848,3,14,14.0,5295808.0
2023,1120,832,6,16,18.0,
2024,1121,832,6,4,3.0,5529852.0
2024,1121,848,3,13,15.0,
2024,1122,848,3,12,11.0,4931627.0
2024,1123,832,6,2,1.0,4826843.0
2024,1123,848,3,12,11.0,
2024,1124,832,6,4,3.0,6884432.0
2024,1124,848,3,14,,
2024,1125,832,6,7,5.0,6086537.0
2024,1125,848,3,14,12.0,6118060.0
2024,1126,832,6,3,5.0,5466283.0
2024,1126,848,3,14,18.0,5525967.0
2024,1127,832,6,4,5.0,5147577.0
2024,1127,848,3,14,,
2024,1128,832,6,3,3.0,8603139.0
2024,1128,848,3,9,9.0,
2024,1129,832,6,12,,
2024,1129,848,3,10,,
2024,1130,832,6,6,6.0,5331255.0
2024,1130,848,3,0,18.0,
2024,1131,832,6,4,3.0,5067331.0
2024,1131,848,3,16,15.0,
2024,1132,832,6,7,5.0,4994377.0
2024,1132,848,3,9,9.0,5015446.0
2024,1133,832,6,4,6.0,5905062.0
2024,1133,848,3,13,14.0,
2024,1134,832,6,7,6.0,20321.0
2024,1134,848,3,10,12.0,64177.0
2024,1135,832,6,10,5.0,5477656.0
2024,1135,848,3,19,14.0,
2024,1136,832,6,5,4.0,4496348.0
2024,1136,848,3,9,9.0,4548183.0
2024,1137,848,3,9,7.0,5665403.0
2024,1137,832,6,3,18.0,
2024,1138,832,6,10,7.0,6148610.0
2024,1138,848,3,11,,
2024,1139,832,6,3,2.0,5718201.0
2024,1139,848,3,14,16.0,
2024,1140,832,6,1,1.0,6055800.0
2024,1140,848,3,9,,
2024,1141,832,6,0,,
2024,1141,848,3,7,,
2024,1142,832,6,2,3.0,4937875.0
2024,1142,848,3,17,,
2024,1143,832,6,7,6.0,5482799.0
2024,1143,848,3,16,15.0,
2024,1144,832,6,3,2.0,5199123.0
2024,1144,848,3,18,11.0,
2025,1123,832,3,10,,
2025,1123,848,3,6,5.0,6137077.0
2025,1125,832,3,15,10.0,5531413.0
2025,1125,848,3,10,7.0,5511347.0
2025,1124,832,3,15,14.0,5001112.0
2025,1124,848,3,9,9.0,4967350.0
2025,1121,832,3,8,,
2025,1121,848,3,15,12.0,5788274.0
2025,1122,832,3,6,8.0,4931388.0
2025,1122,848,3,11,9.0,4933273.0
